price,bedrooms,bathrooms,sqft_living,floors,waterfront,yr_built,condition
221900.0,3,1.0,1180,1.0,0,1955,3
538000.0,3,2.25,2570,2.0,0,1951,3
180000.0,2,1.0,770,1.0,0,1933,3
604000.0,4,3.0,1960,1.0,0,1965,5
510000.0,3,2.0,1680,1.0,0,1987,3
1225000.0,4,4.5,5420,1.0,0,2001,3
257500.0,3,2.25,1715,2.0,0,1995,3
291850.0,3,1.5,1060,1.0,0,1963,3
229500.0,3,1.0,1780,1.0,0,1960,3
323000.0,3,2.5,1890,2.0,0,2003,3
662500.0,3,2.5,3560,1.0,0,1965,3
468000.0,2,1.0,1160,1.0,0,1942,4
310000.0,3,1.0,1430,1.5,0,1927,4
400000.0,3,1.75,1370,1.0,0,1977,4
530000.0,5,2.0,1810,1.5,0,1900,3
650000.0,4,3.0,2950,2.0,0,1979,3
395000.0,3,2.0,1890,2.0,0,1994,3
485000.0,4,1.0,1600,1.5,0,1916,4
189000.0,2,1.0,1200,1.0,0,1921,4
230000.0,3,1.0,1250,1.0,0,1969,4
385000.0,4,1.75,1620,1.0,0,1947,4
2000000.0,3,2.75,3050,1.0,0,1968,3
285000.0,5,2.5,2270,2.0,0,1995,3
252700.0,2,1.5,1070,1.0,0,1985,3
329000.0,3,2.25,2450,2.0,0,1985,4
233000.0,3,2.0,1710,1.5,0,1941,5
937000.0,3,1.75,2450,2.0,0,1915,3
667000.0,3,1.0,1400,1.5,0,1909,5
438000.0,3,1.75,1520,1.0,0,1948,3
719000.0,4,2.5,2570,2.0,0,2005,3
580500.0,3,2.5,2320,2.0,0,2003,3
280000.0,2,1.5,1190,3.0,0,2005,3
687500.0,4,1.75,2330,1.5,0,1929,4
535000.0,3,1.0,1090,1.5,0,1929,4
322500.0,4,2.75,2060,1.0,0,1981,3
696000.0,3,2.5,2300,1.5,0,1930,3
550000.0,4,1.0,1660,1.0,0,1933,1
640000.0,4,2.0,2360,2.0,0,1904,4
240000.0,4,1.0,1220,1.0,0,1969,2
605000.0,4,2.5,2620,2.0,0,1996,3
625000.0,4,2.5,2570,2.0,0,2000,3
775000.0,4,2.25,4220,1.0,0,1984,3
861990.0,5,2.75,3595,2.0,0,2014,3
685000.0,3,1.0,1570,2.0,0,1922,3
309000.0,3,1.0,1280,1.0,0,1959,4
488000.0,3,2.5,3160,2.0,0,2003,3
210490.0,3,1.0,990,1.0,0,1966,3
785000.0,4,2.5,2290,2.0,0,1981,4
450000.0,3,1.75,1250,1.0,0,1953,4
1350000.0,3,2.5,2753,1.0,1,1953,5
228000.0,3,1.0,1190,1.0,0,1955,3
