price,bedrooms,bathrooms,sqft_living,floors,waterfront,condition,scaled_size,loc_budget,loc_mid-range,loc_premium
221900.0,3.0,1.0,1180.0,1.0,0,3,0.2256306249207758,0,0,1
538000.0,3.0,2.25,2570.0,2.0,0,3,0.5780200278869312,1,0,0
180000.0,2.0,1.0,770.0,1.0,0,3,0.12168842692356446,0,0,1
604000.0,4.0,3.0,1960.0,1.0,0,5,0.42337431867156805,0,0,1
510000.0,3.0,2.0,1680.0,1.0,0,3,0.35238940296615545,1,0,0
1129575.0,4.0,4.5,4234.5,1.0,0,3,1.0,1,0,0
257500.0,3.0,2.25,1715.0,2.0,0,3,0.361262517429332,0,0,1
291850.0,3.0,1.5,1060.0,1.0,0,3,0.19520851818988466,0,1,0
229500.0,3.0,1.0,1780.0,1.0,0,3,0.3777411585752314,0,0,1
323000.0,3.0,2.5,1890.0,2.0,0,3,0.40562808974521486,0,0,1
662500.0,3.0,2.5,3560.0,1.0,0,3,0.829002408416783,0,0,1
468000.0,2.0,1.0,1160.0,1.0,0,4,0.2205602737989606,0,0,1
310000.0,3.0,1.0,1430.0,1.5,0,4,0.2890100139434656,1,0,0
400000.0,3.0,1.75,1370.0,1.0,0,4,0.27379896057802006,0,0,1
530000.0,5.0,2.0,1810.0,1.5,0,3,0.3853466852579541,0,1,0
650000.0,4.0,3.0,2950.0,2.0,0,3,0.6743566992014197,1,0,0
395000.0,3.0,2.0,1890.0,2.0,0,3,0.40562808974521486,0,1,0
485000.0,4.0,1.0,1600.0,1.5,0,4,0.33210799847889466,0,1,0
189000.0,2.0,1.0,1200.0,1.0,0,4,0.230700976042591,0,1,0
230000.0,3.0,1.0,1250.0,1.0,0,4,0.24337685384712893,0,1,0
385000.0,4.0,1.75,1620.0,1.0,0,4,0.33717834960070986,1,0,0
1129575.0,3.0,2.75,3050.0,1.0,0,3,0.6997084548104957,1,0,0
285000.0,5.0,2.5,2270.0,2.0,0,3,0.5019647610597034,0,1,0
252700.0,2.0,1.5,1070.0,1.0,0,3,0.19774369375079226,0,1,0
329000.0,3.0,2.25,2450.0,2.0,0,4,0.5475979211560401,1,0,0
233000.0,3.0,2.0,1710.0,1.5,0,5,0.3599949296488782,1,0,0
937000.0,3.0,1.75,2450.0,2.0,0,3,0.5475979211560401,1,0,0
667000.0,3.0,1.0,1400.0,1.5,0,5,0.28140448726074285,0,0,1
438000.0,3.0,1.75,1520.0,1.0,0,3,0.3118265939916339,0,0,1
719000.0,4.0,2.5,2570.0,2.0,0,3,0.5780200278869312,0,0,1
580500.0,3.0,2.5,2320.0,2.0,0,3,0.5146406388642414,0,1,0
280000.0,2.0,1.5,1190.0,3.0,0,3,0.2281658004816834,0,0,1
687500.0,4.0,1.75,2330.0,1.5,0,4,0.5171758144251489,0,1,0
535000.0,3.0,1.0,1090.0,1.5,0,4,0.20281404487260746,0,1,0
322500.0,4.0,2.75,2060.0,1.0,0,3,0.4487260742806439,0,0,1
696000.0,3.0,2.5,2300.0,1.5,0,3,0.5095702877424262,0,1,0
550000.0,4.0,1.0,1660.0,1.0,0,1,0.34731905184434025,0,0,1
640000.0,4.0,2.0,2360.0,2.0,0,4,0.5247813411078718,0,0,1
240000.0,4.0,1.0,1220.0,1.0,0,2,0.23577132716440613,1,0,0
605000.0,4.0,2.5,2620.0,2.0,0,3,0.5906959056914691,0,0,1
625000.0,4.0,2.5,2570.0,2.0,0,3,0.5780200278869312,1,0,0
775000.0,4.0,2.25,4220.0,1.0,0,3,0.9963239954366842,0,0,1
861990.0,5.0,2.75,3595.0,2.0,0,3,0.8378755228799595,0,0,1
685000.0,3.0,1.0,1570.0,2.0,0,3,0.3245024717961719,1,0,0
309000.0,3.0,1.0,1280.0,1.0,0,4,0.2509823805298517,1,0,0
488000.0,3.0,2.5,3160.0,2.0,0,3,0.7275953859804792,0,0,1
210490.0,3.0,1.0,990.0,1.0,0,3,0.17746228926353153,0,1,0
785000.0,4.0,2.5,2290.0,2.0,0,4,0.5070351121815186,1,0,0
450000.0,3.0,1.75,1250.0,1.0,0,4,0.24337685384712893,0,1,0
1129575.0,3.0,2.5,2753.0,1.0,1,5,0.6244137406515402,0,1,0
228000.0,3.0,1.0,1190.0,1.0,0,3,0.2281658004816834,0,1,0
345000.0,5.0,2.5,3150.0,1.0,0,4,0.7250602104195716,1,0,0
600000.0,3.0,1.75,1410.0,1.0,0,4,0.2839396628216504,0,1,0
585000.0,2.0,1.75,1980.0,1.0,0,3,0.42844466979338325,1,0,0
920000.0,5.0,2.25,2730.0,1.5,0,3,0.6185828368614527,0,1,0
885000.0,4.0,2.5,2830.0,2.0,0,3,0.6439345924705286,0,0,1
292500.0,4.0,2.5,2250.0,2.0,0,3,0.49689440993788825,0,0,1
301000.0,3.0,2.5,2420.0,2.0,0,3,0.5399923944733173,1,0,0
951000.0,5.0,3.25,3250.0,2.0,0,4,0.7504119660286476,0,0,1
430000.0,4.0,3.0,1850.0,2.0,0,3,0.3954873875015845,0,0,1
650000.0,3.0,2.25,2150.0,1.0,0,4,0.47154265432881226,0,1,0
289000.0,3.0,1.75,1260.0,1.0,0,3,0.24591202940803653,1,0,0
505000.0,3.0,1.75,2519.0,2.0,0,5,0.5650906325263025,0,1,0
549000.0,3.0,1.75,1540.0,3.0,0,3,0.3168969451134491,0,1,0
425000.0,3.0,2.25,1660.0,1.0,0,3,0.34731905184434025,0,1,0
317625.0,3.0,2.75,2770.0,1.5,0,5,0.628723539105083,0,1,0
975000.0,4.0,2.5,2720.0,2.0,0,3,0.6160476613005451,0,1,0
287000.0,4.0,2.5,2240.0,2.0,0,3,0.4943592343769806,0,1,0
204000.0,3.0,1.0,1000.0,1.0,0,4,0.17999746482443912,0,1,0
